Word,Frequency
новый,4728
хороший,4711
женский,4280
первый,3893
детский,2807
2023,2793
чувашский,2598
окончательный,2468
интересный,2354
любимый,2309
удобный,2214
действительный,2181
готовый,2149
возможный,1997
необходимый,1835
большой,1769
приятный,1713
чёрный,1660
высокий,1641
разный,1579
простой,1577
отличный,1570
летний,1567
больший,1511
важный,1489
мужской,1439
лёгкий,1431
полный,1334
белый,1296
мягкий,1288
дополнительный,1250
спортивный,1245
добрый,1245
главный,1226
торговый,1220
второй,1193
огромный,1193
пьяный,1191
бесплатный,1181
красивый,1178
единый,1160
прекрасный,1142
натуральный,1132
тёплый,1123
последний,1103
русский,1073
домашний,1068
вкусный,1031
небольшой,1026
яркий,1008
цокольный,991
низкий,990
маленький,985
личный,972
свободный,970
прямой,968
полезный,947
стильный,939
российский,935
современный,910
святой,861
комфортный,857
молодой,855
следующий,848
общий,835
синий,831
активный,825
рад,813
известный,799
идеальный,797
внутренний,777
внешний,777
сильный,759
нежный,754
здоровый,753
дорогой,741
завершенный,722
зелёный,715
самые,714
серый,706
семейный,703
профессиональный,702
уникальный,701
красный,687
муниципальный,680
различный,675
собственный,664
великий,662
смертельный,662
крупный,659
живой,654
счастливый,649
случайный,648
сложный,643
чебоксарский,628
местный,628
широкий,600
модный,596
короткий,586
старый,584
6-летний,581
школьный,579
трикотажный,573
горячий,570
18:00,568
сухой,567
растительный,565
длинный,565
близкий,563
универсальный,562
международный,557
тяжёлый,548
плохой,542
основный,540
реальный,538
неизвестный,537
канашский,536
открытый,534
тонкий,533
средний,529
качественный,522
медицинский,520
повседневный,519
природный,518
9:00,518
свежий,515
холодный,510
физический,506
эгерский,504
индивидуальный,503
официальный,498
особый,494
глубокий,493
кредитный,491
социальный,485
хлопковый,484
светлый,481
легковой,475
советский,473
бывший,468
чистый,467
мелкий,467
специальный,466
классический,466
д.18,459
народный,459
рабочий,457
шикарный,456
длительный,454
третий,453
21:00,452
голубой,451
оптовый,450
межрайонный,448
музыкальный,445
откидной,443
транспортный,440
