Word,Frequency
цена,24378
размер,24162
карта,12808
год,10127
день,8210
работа,7663
человек,7355
ребёнок,6058
время,5890
июль,5832
оплата,5827
группа,5721
фото,5507
жизнь,5055
дом,4744
место,4507
текст,4452
страница,4306
заказ,4288
город,4248
изображение,4193
руб.,4082
кожа,3941
длина,3861
счёт,3830
цвет,3821
личка,3742
альбом,3712
руб,3699
друг,3674
момент,3585
помощь,3565
вопрос,3550
товар,3526
окончательная,3430
имя,3416
офис,3370
розыгрыш,3269
организатор,3216
скидка,3211
раз,3128
информация,3121
материал,3106
программа,3003
конкурс,2884
вода,2883
хлопок,2874
качество,2817
условие,2806
победитель,2800
чебоксары,2763
график,2741
видео,2658
костюм,2600
см.,2542
раздача,2538
магазин,2514
модель,2494
выбор,2493
наличие,2461
мир,2426
проблема,2412
час,2409
мошенник,2405
рубль,2403
участник,2348
комментарий,2299
пост,2297
состав,2286
сомнение,2269
одежда,2240
запись,2213
репост,2207
описание,2205
тело,2196
загрузка,2189
участие,2184
подарок,2174
телефон,2169
мошенникам,2160
рука,2156
примерка,2147
страна,2122
доставка,2113
фотография,2112
месяц,2076
дело,2065
сообщение,2062
приз,2044
футболка,1996
слово,1994
количество,1973
итог,1968
вид,1968
минута,1957
женщина,1914
платье,1913
новинка,1879
направление,1871
средство,1858
ул.,1841
ткань,1832
лицо,1821
любовь,1777
набор,1765
рукав,1758
семья,1731
этаж,1715
район,1707
оконч,1697
масло,1694
образ,1688
часть,1634
школа,1634
ошибка,1623
арт,1614
девочка,1586
рост,1573
вещь,1557
ссылка,1531
квартира,1521
праздник,1517
внимание,1517
возможность,1505
публикация,1502
мужчина,1482
роман,1478
неделя,1477
машина,1473
очевидец,1467
результат,1464
встреча,1459
книга,1457
еда,1455
новость,1417
форма,1415
робот,1404
комплект,1399
глаз,1396
водитель,1391
сила,1381
история,1380
проект,1365
август,1339
приложение,1331
срок,1330
лето,1311
республика,1287
адрес,1280
происшествие,1280
интернет,1275
движение,1259
деньга,1255
пара,1246
волос,1242
сторона,1238
сайт,1236
стена,1233
девушка,1214
соль,1208
система,1190
случай,1184
игра,1174
центр,1170
поездка,1166
сахар,1166
действие,1151
здоровье,1150
вкус,1145
реклама,1138
новости,1132
состояние,1130
спасибо,1117
рождение,1115
упаковка,1107
банк,1107
душа,1104
продукт,1101
автор,1101
отношение,1099
мальчик,1093
перец,1089
правило,1079
брюки,1074
сердце,1073
компания,1061
территория,1060
конец,1056
мама,1049
малом,1049
право,1048
сотрудник,1041
связь,1039
уровень,1031
фильм,1028
сообщество,1027
акция,1024
номер,1020
способ,1019
чебоксарыафиша,1017
чебоксарысити,1016
чувашияжемчужинароссии,1009
новостичувашия,1009
новостичебоксары,1009
чебоксарывкурсе,1009
новоеподслушаночебоксары,1009
стоимость,1004
житель,997
опыт,992
решение,990
канал,989
карман,987
плата,983
лайк,979
область,977
хранение,975
отдых,975
мастер,974
изделие,972
утро,972
мероприятие,960
родитель,957
развитие,953
вариант,951
собака,948
дтп,947
улица,946
возраст,943
код,940
служба,937
плечо,931
грудь,928
класс,923
дорога,922
течение,920
число,920
подписчик,918
процесс,916
округ,911
продукция,904
рецепт,903
чувашскаяреспублика,899
объём,895
ложка,893
ряд,890
событие,889
чебоксарыспорт,884
тысяча,870
сын,870
продажа,869
автомобиль,869
зима,860
крем,853
ночь,852
документ,851
обувь,850
специалист,850
команда,849
деревня,849
начало,844
прогулка,840
земля,840
трикотаж,839
производство,837
лист,833
занятие,830
животное,827
